MD,DS,StyleCode,품명,시즌코드,컬러수,기획수량,생산형태,생산처,원산지,출고차순,출고일(주차),작지발행,납기1차(참고),컬러구성,사양확정,비수기,원가합,소매가합,원단처,겉감정보,안감정보,생산처_소재DB
최지희,조은선,QEBDX27501,남녀공용 에브리데이 토트백,X,2,800,완사입,인투잇플러스,중국,,1월3주,X,,"BLK(BLACK), MUD",X,,23200000,118400000,,,,
최지희,조은선,QEBXX27501,남녀공용 에브리데이 백팩 (15L),X,2,800,완사입,인투잇플러스,중국,,1월3주,X,,"BLK(BLACK), MUD",X,,25600000,134400000,,,,
최지희,조은선,QEBDX27511,남녀공용 에브리데이 슬링백 (3L),X,2,1300,완사입,인투잇플러스,중국,,1월3주,X,,"BLK(BLACK), MUD",X,,21450000,114400000,,,,
최지희,조은선,QEBDX27513,남녀공용 에브리데이 슬링백 (3L),X,2,8000,완사입,인투잇플러스,중국,,1월3주,X,,"BLK(BLACK), BGY-1",X,,156000000,704000000,,,,
최지희,강지은,QELAX27111,남녀공용 메리노울 하이킹 크루 삭스,X,2,1000,완사입,크리스,국내,,1월3주,X,,"LBE(L/BEIGE), LGY(L/GRAY)",X,,3997000,30000000,,,,
최지희,강지은,QELAX27121,남녀공용 메리노울 하이킹 컴프레션 크루 삭스,X,3,4000,완사입,크리스,국내,,1월3주,X,,"DGY(D/GRAY), GBU(G/BLUE), DGR(D/GREEN)",X,,13720000,120000000,,,,
최지희,강지은,QELAX27141,남녀공용 하이킹 딥다잉 컴프레션 크루 삭스,X,2,1600,완사입,크리스,국내,,1월3주,X,,"AQU(AQUA), CPI(C/PINK)",X,,5488000,48000000,,,,
최지희,강지은,QELAX27131,남녀공용 메리노울 컴프레션 크루 삭스,X,3,1500,완사입,크리스,국내,,1월3주,X,,"LML, LIL(LILAC), MUS",X,,5940000,37500000,,,,
최지희,강지은,QELAX27501,남녀공용 바이오맥스 니삭스,X,2,2000,완사입,건우,국내,,1월3주,X,,"BLK(BLACK), OWH",X,,7714000,50000000,,,,
최지희,강지은,QELAX27511,남녀공용 그래픽 크루 삭스,X,3,4700,완사입,건우,국내,,2월4주,X,,"DNA(D/NAVY), DMI(D/MINT), GBR(G/BROWN)",X,,15792000,94000000,,,,
최지희,강지은,QELAX27521,남녀공용 레트로 크루 삭스,X,3,6000,완사입,건우,국내,,2월4주,X,,"BLK(BLACK), ORA, NAY",X,,18972000,120000000,,,,
최지희,강지은,QELAX27571,남녀공용 레터링 크루 삭스,X,2,4500,완사입,범창,국내,,2월4주,X,,"LBE(L/BEIGE), WHX",X,,14229000,90000000,,,,
최지희,강지은,QELAX27531,남녀공용 에센셜 크루 삭스,X,2,4000,완사입,범창,국내,,2월4주,X,,"BLK(BLACK), OWH",X,,10400000,64000000,,,,
최지희,강지은,QELAX27561,남녀공용 상록수 그래픽 크루 삭스,X,2,3500,완사입,범창,국내,,2월4주,X,,"BLK(BLACK), OWH",X,,9800000,56000000,,,,
최지희,강지은,QELAX27541,남녀공용 베이직 앵클 삭스,X,4,7000,완사입,건우,국내,,2월4주,X,,"WHX, GBR(G/BROWN), GMI(G/MINT), BLK(BLACK)",X,,19600000,91000000,,,,
최지희,강지은,QELAX27551,남녀공용 에센셜 쿠셔닝 인비저블 삭스 3PACK,X,3,4500,완사입,범창,국내,,2월4주,X,,"OWH, BLK(BLACK), OTX",X,,29700000,135000000,,,,
최지희,조은선,QEAAM27301,남녀공용 에어도트 사하라 쉐이드,M,1,500,완사입,PNG,베트남,,3월4주,X,,BLK(BLACK),X,,3130000,15000000,,,,
최지희,조은선,QEAAM27303,남녀공용 메쉬 프린트 사하라 쉐이드,M,1,300,완사입,PNG,베트남,,3월4주,X,,GRY-1,X,,3078600,12000000,,,,
최지희,조은선,QEAKX27101,남녀공용 심리스 멀티 스카프,X,2,2000,완사입,아이앤지,한국,,3월2주,X,,"BLK(BLACK), GBR(G/BROWN)",X,,8800000,60000000,,,,
최지희,조은선,QEAKX27111,남녀공용 그래픽 스카프,X,2,1400,완사입,아이앤지,한국,,2월4주,X,,"AQU(AQUA), GRY(GRAY)",X,,4393200,28000000,,,,
최지희,조은선,QEAKM27103,남녀공용 봉제형 이어 멀티 쿨 마스크,M,3,9900,완사입,아이앤지,한국,,3월4주,X,,"BLK(BLACK), WHX, LGY(L/GRAY)",X,,69300000,396000000,,,,
최지희,조은선,QEAAX27111,남녀공용 그래픽 반다나,X,4,7000,완사입,아이앤지,한국,,2월4주,X,,"KHA(KHAKI), MUS, LIM, DLI",X,,25998000,112000000,,,,
최지희,조은선,QEHEM27103,남녀공용 모스드라이 심리스 팔토시,M,2,10500,완사입,아이앤지,중국,,3월4주,X,,"BLK(BLACK), WHX",X,,65992500,315000000,,,,
최지희,조은선,QEHEM27105,남녀공용 모스드라이 손등 팔토시,M,2,5000,완사입,아이앤지,베트남,,3월4주,X,,"WHX, BLK(BLACK)",X,,33210000,175000000,,,,
최지희,,JKICX27902,유통특화_여성 냉감 브래지어,X,2,2000,완사입,,,,2월4주,,,"BLK(BLACK), SBE",,,30000000,120000000,,,,
최지희,,JKIBX27902,유통특화_여성 냉감 브리프,X,2,2000,완사입,,,,2월4주,,,"BLK(BLACK), SBE",,,13000000,70000000,,,,
